,TS,EG,EF,ED
0,0.5,1.25,0.5,-0.25
1,0.0,2.5,0.0,1.0
2,-0.5,2.0,2.0,1.0
3,-1.0,1.5,3.25,1.75
4,-0.75,1.75,4.75,2.75
5,-1.0,2.75,5.0,2.5
6,-1.75,2.5,5.25,3.0
7,-0.5,2.0,4.75,2.5
8,0.0,2.25,6.0,2.0
9,0.0,2.0,5.0,1.25
10,-0.5,2.25,5.0,1.75
11,-0.25,2.75,5.5,1.5
12,0.0,2.5,5.25,1.5
13,0.5,2.0,5.25,1.0
14,0.0,2.25,5.75,1.25
15,0.25,1.75,6.25,1.0
16,0.0,0.75,6.5,0.0
17,1.0,2.25,7.0,0.75
18,0.25,2.25,6.75,0.25
19,-0.5,2.5,6.75,-0.5
20,-0.25,2.5,6.0,0.75
21,-0.5,2.25,6.25,0.25
22,0.0,1.5,5.75,0.25
23,-0.75,2.0,5.25,2.25
24,0.0,1.75,4.75,2.5
25,0.0,2.0,5.25,3.0
26,-0.5,2.25,4.5,5.0
27,0.25,3.75,4.5,5.25
28,-0.25,3.25,4.75,5.25
29,2.0,3.75,4.5,6.5
30,2.25,3.75,4.75,7.75
31,2.0,4.5,4.0,8.0
32,1.25,5.0,4.25,7.25
33,0.75,4.25,4.5,6.75
34,0.25,4.5,4.75,6.0
35,0.5,3.5,4.0,5.5
36,0.0,3.0,3.75,6.75
37,-0.5,3.25,5.0,6.25
38,-0.25,3.25,5.0,5.5
39,1.25,3.5,5.75,5.25
40,1.5,3.75,4.75,4.5
41,3.0,4.5,4.25,3.75
42,2.0,3.75,5.0,5.0
43,2.5,4.0,6.25,5.5
44,1.75,3.5,6.0,4.5
45,2.0,3.75,5.25,3.75
46,1.0,3.25,4.25,3.75
47,2.0,3.75,4.0,4.0
48,2.5,3.25,3.75,5.5
49,3.5,3.0,4.0,5.0
50,3.5,3.25,3.75,5.0
51,3.75,2.75,4.25,4.5
52,3.25,3.25,4.5,5.75
53,3.5,4.5,5.0,5.25
54,3.0,3.5,5.5,4.5
55,3.5,3.75,6.0,3.5
56,3.25,5.0,5.75,4.0
57,3.75,4.5,5.0,3.25
58,4.0,4.0,5.75,3.5
59,4.25,3.0,6.25,3.5
60,3.5,2.75,6.0,3.75
61,2.75,2.5,6.25,3.25
62,3.25,2.75,5.75,2.75
63,2.75,2.5,6.0,3.0
64,2.25,2.0,5.5,3.25
65,2.25,2.5,5.75,3.25
66,2.75,2.75,5.75,2.25
67,3.25,2.0,5.0,2.75
68,3.5,1.0,5.5,2.75
69,2.75,0.25,5.75,2.25
70,2.0,1.5,5.5,1.75
71,2.75,1.75,6.75,1.25
72,2.25,3.75,6.0,1.25
73,2.75,4.5,5.0,1.5
74,3.5,4.5,4.5,1.75
75,4.0,4.0,4.75,3.0
76,3.5,5.0,4.5,2.5
77,4.75,5.5,5.25,2.5
78,5.25,4.75,6.5,3.5
79,5.0,5.25,6.0,2.5
80,4.0,4.5,5.75,3.0
81,4.5,4.0,7.0,2.25
82,4.75,3.5,6.0,2.75
83,5.25,4.0,5.25,2.0
84,5.5,3.25,4.75,1.75
85,5.25,3.75,4.25,1.5
86,6.25,3.25,5.25,1.0
87,7.0,2.75,5.5,0.75
88,7.5,3.0,6.0,1.75
89,8.5,3.5,6.5,1.5
90,9.0,3.25,7.0,0.5
91,9.5,3.5,7.25,1.25
92,8.75,3.0,8.0,0.5
93,9.75,3.0,7.25,0.0
94,10.0,2.5,7.75,-0.5
95,9.25,2.75,8.0,-1.25
96,9.75,2.75,8.25,-0.25
97,10.5,2.25,7.75,-0.5
98,9.75,1.5,7.75,-1.25
99,9.5,2.5,7.0,-2.0
100,9.0,1.5,7.25,-0.75
101,8.5,2.0,6.75,-0.25
102,9.25,2.5,6.25,0.5
103,9.5,2.25,6.0,0.75
104,8.5,2.0,6.0,0.5
105,8.0,2.5,6.0,0.0
106,7.75,2.75,5.75,-0.25
107,7.75,2.25,6.25,-1.0
108,9.0,2.75,5.5,-1.5
109,8.25,2.25,5.5,0.0
110,7.75,2.5,5.25,1.25
111,8.25,2.5,5.0,0.75
112,7.75,3.0,4.0,1.75
113,8.0,3.25,3.25,1.25
114,8.5,3.5,3.75,1.0
115,7.75,2.75,3.25,0.0
116,6.75,2.5,2.5,-0.5
117,7.25,2.0,3.0,0.75
118,7.0,2.25,2.5,1.0
119,6.5,2.0,1.75,1.25
120,6.25,1.25,1.5,1.75
121,6.5,1.0,2.25,3.25
122,5.75,1.0,1.75,3.5
123,7.0,0.5,2.0,3.25
124,7.25,-0.25,2.25,2.5
125,7.75,-1.0,2.5,2.75
126,9.0,-2.0,3.75,2.75
127,8.75,-1.5,4.5,3.0
128,8.5,-0.5,4.75,2.75
129,9.0,-1.0,5.0,3.5
130,8.5,-0.5,4.25,3.75
131,7.75,-1.25,4.75,4.25
132,9.0,-2.0,4.5,3.5
133,9.75,-2.25,4.0,3.25
134,9.0,-2.75,5.0,3.25
135,9.25,-2.75,4.0,3.0
136,9.75,-3.0,4.25,3.25
137,9.75,-3.5,3.75,3.25
138,9.0,-4.25,3.25,3.5
139,10.25,-4.5,2.25,3.5
140,9.5,-5.25,2.25,2.75
141,9.75,-5.75,1.75,3.5
142,9.0,-5.5,2.0,3.5
143,9.25,-5.5,1.75,3.5
144,9.0,-5.0,3.0,4.0
145,8.75,-4.5,2.0,4.75
146,8.25,-5.25,3.25,4.5
147,7.5,-5.75,2.75,3.5
148,8.0,-5.25,2.75,4.0
