,Solo,Sensitive,Naive,Adjust
0,17.25,11.5,25.25,10.75
1,11.5,-0.25,26.75,11.75
2,0.75,3.75,17.0,14.75
3,1.75,21.75,50.0,8.75
4,9.0,1.5,-0.25,4.25
5,9.75,8.5,12.75,8.5
6,42.25,0.25,22.5,13.25
7,4.5,11.5,24.25,-1.75
8,5.5,10.5,-0.75,1.25
9,2.0,-5.0,38.75,11.5
10,10.0,6.5,42.75,13.75
11,3.0,4.75,14.75,-2.0
12,1.5,9.0,24.5,7.75
13,8.5,-2.25,58.0,3.75
14,-1.0,1.75,13.0,13.5
15,-0.25,7.5,21.75,1.0
16,-2.0,0.0,-2.5,-1.75
17,6.0,0.25,18.5,3.5
18,3.75,20.0,35.0,13.5
19,-1.5,-0.25,28.75,6.5
20,9.25,2.0,20.0,3.75
21,4.25,-8.5,-9.75,-2.5
22,5.75,6.5,9.0,-6.75
23,-0.75,4.0,0.5,-5.75
24,3.0,8.75,1.0,13.0
25,-0.75,8.5,-4.0,9.5
26,-4.5,2.75,1.0,12.0
27,6.25,-3.0,67.0,4.5
28,5.0,9.5,3.0,2.5
29,-2.5,6.25,66.25,0.0
30,6.5,6.25,10.0,-5.75
31,-2.75,0.0,20.5,-1.0
32,7.75,4.25,46.25,8.75
33,9.5,5.5,3.25,-0.75
34,0.5,15.0,0.0,0.75
35,-3.5,7.25,46.5,-0.75
36,21.75,0.75,9.0,6.0
37,3.25,7.75,10.25,3.75
38,1.75,-1.0,39.25,1.0
39,2.0,-1.25,44.0,5.75
40,1.5,1.75,3.5,6.5
41,2.25,3.25,62.5,2.0
42,4.0,-1.75,14.25,4.5
43,2.75,6.75,37.0,1.5
44,-3.75,3.25,38.5,5.0
45,4.25,5.0,20.5,1.75
46,3.25,-0.75,29.75,-4.25
47,-2.25,3.5,13.75,-2.25
48,9.75,13.25,30.75,0.75
49,15.0,0.25,55.0,7.5
50,4.75,4.0,8.75,14.75
51,4.5,2.75,33.0,6.25
52,-6.25,-2.0,9.5,10.5
53,5.25,-0.75,39.25,8.5
54,-0.75,3.5,26.5,5.25
55,6.25,6.5,51.75,18.0
56,-5.0,3.5,36.0,6.25
57,-3.75,0.25,39.25,4.0
58,3.5,9.25,-5.5,3.5
59,0.5,7.25,36.5,-3.25
60,0.5,2.25,36.0,6.25
61,13.0,1.25,41.5,4.5
62,7.25,5.25,14.25,-3.25
63,-0.5,-5.5,5.75,-0.5
64,-1.75,9.5,47.0,-2.75
65,5.0,15.0,8.75,6.25
66,-4.75,3.25,2.0,5.75
67,8.0,-4.75,9.0,3.75
68,-6.75,-1.75,10.75,-3.75
69,1.5,1.0,1.5,14.5
70,0.75,1.25,41.75,0.25
71,6.0,9.0,15.5,5.75
72,2.75,-1.0,26.5,2.25
73,-1.25,9.5,34.25,6.5
74,8.5,-3.25,35.25,6.75
75,6.5,4.5,14.5,-4.0
76,11.75,1.75,13.75,5.25
77,5.75,3.75,39.0,-4.0
78,0.75,-2.5,35.5,17.0
79,5.75,-7.0,-6.25,5.75
80,-1.5,-5.25,59.25,6.0
81,3.0,3.5,14.5,0.0
82,6.0,5.75,48.0,2.75
83,4.0,4.75,18.0,9.0
84,-8.5,3.0,44.25,2.0
85,0.25,5.0,45.25,-1.25
86,3.75,-1.5,-1.0,-2.0
87,3.5,8.0,3.5,-2.5
88,15.75,-1.75,43.25,2.75
89,3.5,0.5,39.0,5.0
90,-0.5,1.0,26.5,-4.5
91,9.25,6.5,10.75,-1.25
92,4.0,2.75,42.0,9.5
93,4.5,4.0,-1.5,0.5
94,3.25,7.0,2.0,1.0
95,-0.25,0.5,30.0,12.25
96,3.0,-0.5,-2.25,1.75
97,13.0,0.25,62.75,11.0
98,9.0,11.25,14.25,4.75
99,-7.75,7.0,11.75,7.5
100,15.75,12.0,34.0,11.25
101,4.25,9.75,48.75,-4.0
102,3.25,7.5,20.25,4.25
103,8.5,6.5,24.5,3.0
104,6.5,9.5,11.0,-3.25
105,11.0,9.75,2.75,0.75
106,-0.75,1.5,30.75,4.25
107,-0.5,2.0,48.5,9.0
108,-0.75,-4.75,32.0,7.75
109,7.5,4.25,1.0,9.5
110,6.75,1.75,32.0,7.0
111,4.5,-3.25,28.75,-0.75
112,-1.0,3.0,47.75,-3.25
113,10.5,6.5,19.0,-2.25
114,16.0,2.75,50.0,2.5
115,-1.0,3.0,18.5,7.25
116,4.25,12.75,36.5,4.75
117,2.75,10.5,29.75,12.25
118,-0.75,3.5,2.0,-0.75
119,11.5,6.0,9.25,-3.75
120,9.0,-2.25,47.75,11.5
121,6.5,17.0,34.25,11.25
122,-1.25,1.0,34.25,3.0
123,7.0,-3.5,11.5,8.0
124,4.75,5.75,11.75,6.25
125,-3.75,-3.25,16.25,2.5
126,4.5,-0.25,1.25,8.0
127,8.0,-6.0,0.75,6.75
128,2.0,8.5,11.5,8.5
129,-5.25,-3.25,71.0,3.0
130,2.0,1.75,8.5,7.25
131,0.0,5.75,1.5,14.25
132,3.0,9.5,0.0,1.0
133,10.75,1.5,3.5,-0.5
134,4.25,12.25,28.25,3.0
135,-5.0,10.75,49.0,7.25
136,7.5,-4.5,14.5,-1.25
137,1.5,1.0,12.5,4.0
138,8.25,-1.75,0.0,10.25
139,5.25,8.5,53.75,6.0
140,2.0,2.5,16.0,5.5
141,10.25,4.0,32.0,10.25
142,4.75,7.25,14.25,-3.25
143,-1.5,2.25,10.25,-0.75
144,2.75,9.0,3.0,-0.25
145,-7.75,1.25,13.5,14.5
146,4.75,3.5,37.0,5.75
147,-3.0,-2.0,38.0,3.25
148,-0.5,12.5,8.5,-1.0
149,10.0,1.25,2.5,0.75
150,1.25,11.0,39.0,10.0
151,8.75,10.25,50.75,6.75
152,3.25,3.25,2.0,8.25
153,1.75,5.25,19.25,11.25
154,-2.25,8.5,46.5,7.75
155,19.5,0.25,23.5,-2.75
156,8.75,-5.75,33.0,5.0
157,10.75,7.0,9.25,4.0
158,9.5,8.0,58.25,2.5
159,12.75,16.0,9.25,1.25
160,-3.0,8.25,13.25,2.25
161,-1.0,5.0,45.5,5.25
162,2.25,12.75,26.75,7.0
163,9.5,-0.75,27.0,16.5
164,2.0,5.5,34.5,7.25
165,5.25,2.75,49.75,1.5
166,6.0,7.25,20.25,7.5
167,-1.75,4.0,5.75,7.0
168,-8.0,11.75,-1.75,8.5
169,5.0,1.5,20.25,4.25
170,-4.75,-1.5,26.75,7.5
171,13.25,8.75,52.75,2.5
172,-4.5,-0.75,18.5,5.25
173,7.25,1.0,8.5,11.75
174,-2.25,1.75,28.0,6.5
175,-1.5,-2.75,46.0,7.0
176,12.5,6.75,50.75,1.5
177,5.0,4.25,31.25,-0.25
178,8.5,6.5,7.0,4.5
179,3.0,-1.0,5.5,0.0
180,4.25,-2.75,45.25,1.75
181,-7.0,7.5,33.75,3.75
182,-6.0,4.75,5.5,4.25
183,-1.0,1.0,3.75,-0.25
184,2.0,3.25,25.5,13.0
185,-1.25,12.0,1.25,-6.25
186,5.0,-0.5,-8.0,7.25
187,6.5,12.25,-1.25,3.75
188,-4.0,-3.25,-4.0,2.25
189,11.0,7.25,5.25,5.0
190,-0.25,5.0,60.25,5.75
191,1.75,3.5,35.75,5.0
192,3.5,12.25,19.75,9.5
193,4.5,2.75,23.25,-4.5
194,3.0,-4.75,27.0,3.75
195,-4.75,9.5,0.25,-1.0
196,6.0,4.25,21.25,8.75
197,3.0,5.25,9.5,3.0
198,7.5,2.75,6.5,4.75
199,11.0,10.25,4.5,6.25
200,1.0,38.75,54.0,-0.75
201,1.75,5.25,52.0,9.25
202,3.5,14.75,14.75,6.75
