,Solo,Sensitive,Naive,Adjust
0,3.0,12.75,7.25,1.75
1,1.75,-1.0,32.75,-1.0
2,0.0,0.75,37.5,-2.25
3,5.75,-10.25,0.0,5.0
4,-2.25,6.25,24.0,-8.5
5,-4.5,-5.25,56.25,-4.75
6,61.25,-3.5,43.75,8.25
7,3.0,-4.0,32.75,-3.25
8,-7.75,-5.25,-7.5,1.25
9,-4.0,0.0,3.75,3.0
10,-4.0,-2.0,-2.75,-1.75
11,1.5,69.5,79.0,-2.0
12,1.75,3.25,18.25,-9.0
13,-5.5,3.5,7.75,-0.75
14,4.0,1.75,4.75,7.75
15,5.25,-4.5,11.25,2.5
16,-3.0,-2.25,10.75,9.75
17,2.0,4.25,40.75,-8.0
18,7.5,4.75,39.75,-1.25
19,4.25,4.5,7.5,4.75
20,-8.0,-4.0,37.75,1.5
21,6.5,4.5,10.0,-6.25
22,1.5,5.0,15.25,12.0
23,-3.25,0.25,8.25,-1.25
24,-0.25,7.75,42.0,3.25
25,-0.5,-0.25,41.5,0.75
26,-9.75,-5.0,17.75,-9.75
27,-2.5,4.0,-3.25,2.0
28,-3.5,0.5,2.5,6.75
29,-1.75,0.0,-7.5,-0.5
30,8.25,-1.5,21.75,3.0
31,0.5,2.75,63.0,6.25
32,-1.5,8.0,40.5,-3.5
33,5.5,-1.0,49.5,2.75
34,2.0,-8.5,38.5,6.25
35,-1.75,13.5,40.5,-4.75
36,6.25,-2.25,20.5,1.25
37,3.5,-9.25,4.5,8.25
38,5.75,13.5,69.0,1.0
39,-2.25,-1.25,17.0,-2.75
40,1.0,1.0,1.0,1.0
41,1.0,1.0,1.0,1.0
42,1.0,1.0,1.0,1.0
43,1.0,1.0,1.0,1.0
44,1.0,1.0,0.0,1.0
45,1.0,1.0,1.0,1.0
46,1.0,1.0,1.0,1.0
47,1.0,1.0,1.0,1.0
48,1.0,1.0,1.0,1.0
49,1.0,1.0,1.0,1.0
50,1.0,1.0,1.0,1.0
51,1.0,0.0,0.0,1.0
52,1.0,1.0,1.0,1.0
53,1.0,1.0,1.0,1.0
54,1.0,1.0,1.0,1.0
55,1.0,1.0,1.0,1.0
56,1.0,1.0,1.0,1.0
57,1.0,1.0,1.0,1.0
58,1.0,1.0,1.0,1.0
59,1.0,1.0,1.0,1.0
60,1.0,1.0,1.0,1.0
61,1.0,1.0,0.0,1.0
62,1.0,1.0,1.0,1.0
63,1.0,1.0,1.0,1.0
64,1.0,1.0,0.0,1.0
65,1.0,1.0,1.0,1.0
66,1.0,1.0,1.0,1.0
67,1.0,1.0,1.0,1.0
68,1.0,1.0,1.0,1.0
69,1.0,1.0,1.0,1.0
70,1.0,1.0,1.0,1.0
71,1.0,1.0,0.0,1.0
72,1.0,1.0,1.0,1.0
73,1.0,1.0,0.0,1.0
74,1.0,1.0,1.0,1.0
75,1.0,1.0,1.0,1.0
76,1.0,1.0,1.0,1.0
77,1.0,1.0,1.0,1.0
78,1.0,1.0,1.0,1.0
79,1.0,1.0,1.0,1.0
