,TS,EG,EF,ED
0,0.25,-0.75,0.5,-0.25
1,-0.25,0.25,1.0,0.5
2,1.0,-0.25,1.25,0.25
3,2.5,-0.5,1.75,0.0
4,3.75,-1.0,3.25,1.25
5,4.5,-1.75,4.75,0.25
6,5.75,-2.25,4.75,0.5
7,6.25,-2.5,4.75,1.5
8,5.75,-3.5,5.25,1.25
9,5.25,-4.0,5.5,2.0
10,6.75,-4.5,4.5,2.5
11,5.75,-3.75,4.0,2.0
12,6.0,-3.0,4.75,3.25
13,5.0,-2.75,3.75,4.5
14,4.5,-2.25,4.0,4.0
15,4.75,-1.5,4.5,3.75
16,5.0,-2.0,4.25,3.25
17,4.25,-1.25,3.5,4.0
18,3.75,-0.75,2.75,4.25
19,5.25,-1.25,3.0,4.5
20,5.5,-1.75,2.75,5.0
21,5.75,-1.75,3.0,5.5
22,6.0,-2.5,2.5,5.0
23,5.75,-2.25,3.5,4.25
24,5.25,-3.0,4.75,6.5
25,6.25,-3.25,6.0,7.0
26,5.5,-3.75,6.25,6.5
27,5.75,-3.25,5.75,7.0
28,6.25,-4.0,6.0,7.25
29,7.5,-4.5,6.0,8.25
30,6.5,-3.25,7.25,8.5
31,5.75,-3.75,7.5,7.75
32,5.25,-4.5,7.75,7.25
33,4.5,-5.0,8.5,7.0
34,5.75,-4.75,7.75,7.5
35,5.25,-3.25,7.5,8.25
36,6.25,-3.25,7.5,7.75
37,7.75,-3.0,7.5,7.0
38,7.75,-1.75,6.75,7.5
39,9.75,-1.0,8.0,6.75
40,9.25,-1.25,7.25,7.5
41,10.25,-0.75,8.5,8.0
42,12.25,1.5,7.75,8.0
43,12.0,1.0,9.0,7.5
44,11.25,1.5,9.5,6.75
45,11.0,0.5,9.75,6.25
46,11.75,0.75,10.0,6.5
47,12.5,1.0,10.0,8.75
48,12.75,1.25,9.5,7.75
49,12.0,1.5,8.75,8.0
50,11.5,1.0,9.25,7.25
51,12.0,0.5,8.5,6.5
52,12.25,0.0,9.0,6.0
53,12.25,-0.5,9.25,7.5
54,12.5,0.0,9.75,6.75
55,13.5,0.5,9.75,7.25
56,14.75,0.0,10.25,7.5
57,13.75,-0.25,9.75,7.25
58,13.25,-1.0,10.25,7.5
59,13.0,0.25,10.0,7.75
60,12.25,0.0,9.25,8.0
61,12.5,1.0,8.75,7.5
62,13.0,2.0,8.25,9.0
63,12.75,2.5,8.25,8.25
64,13.0,3.5,8.5,8.0
65,12.25,3.75,9.0,7.25
66,13.5,3.25,8.5,6.75
67,12.75,3.75,9.0,6.0
68,13.25,4.0,9.5,6.5
69,13.5,3.5,9.25,5.75
70,13.5,4.75,8.5,6.0
71,13.25,6.0,8.25,5.5
72,13.5,6.5,8.5,4.75
