,0.05,0.04,0.03,0.02,0.01
0,87.75,5.5,8.25,4.75,3.25
1,1.25,7.25,11.75,-5.25,-2.0
2,4.0,-11.0,-7.5,4.5,3.5
3,-0.5,3.5,-4.25,-3.5,-5.25
4,13.75,0.25,4.0,0.75,3.25
5,-3.25,-0.5,-4.5,-1.5,-4.75
6,3.25,1.0,-1.5,-3.25,16.75
7,7.75,-3.25,2.75,5.25,19.5
8,4.75,12.5,3.25,-1.25,-2.5
9,0.25,3.25,4.75,-2.5,-1.5
10,-2.5,2.5,4.5,11.0,-5.25
11,-7.75,2.5,3.25,3.25,1.0
12,-3.0,0.5,10.5,5.5,1.5
13,-1.5,6.25,-1.25,3.25,4.0
14,3.0,4.0,-2.5,-2.25,-8.75
15,0.5,-0.5,-5.25,-0.25,1.25
16,-5.25,6.25,4.0,8.25,-2.0
17,-3.5,3.5,3.0,0.75,9.0
18,2.25,2.0,4.0,-9.75,3.25
19,-2.75,6.5,-7.25,-2.25,-6.5
20,-1.5,2.0,4.0,9.5,3.75
21,12.0,-2.5,4.25,-3.75,0.75
22,2.75,8.0,-5.25,5.5,-7.75
23,4.0,2.75,2.5,6.75,-1.5
24,-7.5,-5.0,3.25,-4.75,1.75
25,8.25,-3.25,-3.75,5.25,-3.0
26,8.5,-1.5,-10.25,5.5,9.0
27,-6.0,12.0,-5.0,-8.75,-7.25
28,1.0,-3.25,-4.5,-2.75,8.25
29,6.75,0.5,5.0,5.0,7.5
30,5.75,11.75,-3.0,-5.5,0.75
31,-5.0,1.5,4.0,-7.75,-12.0
32,-0.5,3.5,4.0,6.75,-2.25
33,-2.25,-5.25,12.0,-11.75,0.25
34,3.25,2.25,-8.5,5.0,-2.5
35,-9.5,0.75,-4.75,10.5,-6.0
36,-6.0,-6.75,4.0,0.0,16.75
37,-8.25,-1.75,-12.25,-2.5,-3.5
38,-9.5,4.25,-2.25,-2.0,1.5
39,3.5,-1.75,3.25,8.25,0.75
40,1.75,-3.75,4.75,9.5,0.5
41,7.5,2.0,7.75,-8.0,-7.75
42,3.25,-4.5,6.5,-1.75,-9.5
43,2.75,-2.0,0.75,-3.5,7.5
44,-3.25,8.5,-5.5,0.25,-4.75
45,0.75,3.0,-0.5,11.5,1.25
46,-5.5,0.0,10.75,2.0,7.75
47,-0.25,6.75,0.25,-1.5,-5.0
48,3.75,-1.5,-4.5,-2.5,8.75
49,-10.0,6.0,-9.0,9.75,2.25
50,-1.5,-12.0,6.5,5.25,0.25
51,-3.5,-4.5,5.25,3.5,-2.25
52,6.0,-0.5,-3.75,-5.0,1.0
53,1.25,0.0,-13.0,4.25,-10.25
54,2.75,-0.25,-7.5,1.75,-2.5
55,8.25,0.0,6.0,-1.5,-3.0
56,-0.5,-6.0,5.75,4.25,-6.5
57,0.5,-5.25,15.25,-4.25,8.25
58,-9.5,10.5,1.5,7.5,0.0
59,-6.0,-0.5,-4.5,1.75,4.0
60,4.75,-0.5,-4.75,-5.5,-4.25
61,0.0,2.0,-2.25,-1.5,-6.0
62,-6.75,-3.25,4.25,-0.5,-0.25
63,4.5,-8.5,-3.75,1.0,1.0
64,-3.25,-5.0,-0.5,-5.0,13.0
65,-2.5,2.5,10.0,-4.0,6.25
66,4.75,4.25,-2.5,-1.25,1.75
67,-5.0,-5.25,5.75,3.75,5.5
68,-1.5,9.75,5.25,2.75,-4.25
69,-8.25,0.75,-9.25,-0.5,11.25
70,-4.75,-5.25,-1.5,1.25,6.75
71,-11.0,10.5,8.0,3.25,1.0
72,-1.0,4.0,6.5,-0.5,-3.75
73,-4.5,9.0,-7.75,6.75,5.0
74,1.25,3.25,1.75,2.75,-3.75
75,-3.0,-1.75,0.75,0.5,5.75
76,6.5,3.5,7.25,2.0,2.75
77,5.0,0.75,4.75,-9.0,-5.25
78,0.75,-1.75,0.25,-3.75,8.75
79,2.5,-5.0,-0.25,4.0,2.75
80,9.75,4.5,9.25,-2.25,23.0
81,9.75,-0.5,-2.75,3.5,-5.25
82,15.75,1.75,3.75,-7.25,-1.25
83,-1.75,1.5,0.5,4.0,-5.0
84,-2.75,6.5,1.0,6.75,12.25
85,2.25,5.25,8.25,1.25,10.25
86,-10.5,-8.0,-10.25,6.25,-6.25
87,-8.75,8.75,4.0,6.5,0.75
88,0.25,1.75,2.75,5.25,8.25
89,1.25,1.25,-3.5,0.25,2.5
90,-8.75,-6.5,-5.0,-1.5,5.25
91,-1.25,-5.25,0.75,-6.0,7.25
92,-9.75,-11.25,10.0,-1.75,5.75
93,4.25,-5.25,-1.75,-1.75,4.0
94,0.0,7.75,5.5,0.25,0.25
95,-3.5,-4.75,2.0,-3.25,1.5
96,1.75,-1.0,4.75,-2.25,-3.25
97,0.25,4.25,1.0,-6.25,1.5
98,-4.0,8.0,-2.5,0.75,1.5
99,6.0,-3.75,-2.25,2.75,3.0
100,4.75,-5.0,-1.5,4.0,2.25
101,0.25,-8.25,-4.0,4.75,0.5
102,1.5,-6.5,-6.25,-4.75,8.75
103,-5.0,4.0,-7.25,-3.25,-4.0
104,3.0,1.25,6.75,2.25,7.25
105,-4.5,5.0,3.25,5.25,4.75
106,-1.0,5.5,23.25,-1.25,0.5
107,4.25,0.25,3.25,-3.0,-1.25
108,-4.25,-2.5,5.5,2.75,-7.75
109,-0.75,2.0,1.5,-4.75,9.25
110,-4.0,-8.25,2.5,9.75,-0.75
111,9.25,8.75,3.75,3.75,-7.5
112,0.5,-4.5,3.25,-2.0,-4.25
113,6.75,4.0,-7.0,1.25,-4.75
114,1.5,2.5,-0.25,15.0,1.25
115,-0.75,2.0,4.5,-6.25,8.5
116,-4.0,1.5,3.5,2.5,3.25
117,0.75,-0.5,-10.0,0.25,-0.75
118,5.75,-4.75,11.5,4.25,6.75
119,-9.0,3.0,1.25,5.25,8.5
120,-0.75,8.25,-4.5,-4.75,8.0
121,2.0,5.75,4.75,0.0,-0.75
122,-7.25,-1.5,5.75,10.75,-2.25
123,-3.5,-3.5,3.25,-8.5,2.5
124,-11.0,7.0,-5.25,6.25,-13.75
125,1.25,-3.0,2.25,5.25,-4.0
126,-1.5,2.0,7.0,4.0,5.75
127,0.5,3.75,0.75,0.75,9.75
128,9.75,4.25,-3.75,4.5,-0.25
129,3.5,9.5,6.25,2.0,0.25
130,-3.75,0.75,6.0,-9.25,2.0
131,0.75,0.5,3.0,-1.5,6.25
132,-9.25,-14.25,-9.5,2.25,-4.0
133,-5.5,5.75,2.5,3.75,0.25
134,0.0,2.0,-1.25,-6.0,2.0
135,-6.0,-4.75,-1.25,5.25,9.25
136,-3.5,-9.25,-3.5,4.75,-0.75
137,-1.0,-1.5,-0.75,1.5,-3.25
138,-3.25,0.75,-0.25,-6.75,-4.5
139,3.25,-2.0,0.5,-2.75,1.5
140,1.0,-2.5,11.5,0.5,-4.25
141,-6.0,4.5,-4.25,10.0,-0.5
142,-4.5,1.25,-6.75,4.75,-5.0
143,5.0,-5.0,-3.5,-2.75,2.75
144,6.75,5.25,4.0,-0.5,3.5
145,9.25,-1.25,2.75,2.5,-5.5
146,-1.25,-3.25,-4.5,6.75,3.0
147,13.25,5.0,2.25,-4.75,-0.25
148,-7.25,-1.0,-10.25,13.75,0.75
149,2.75,7.0,3.0,7.5,4.0
150,3.25,-13.0,-2.25,4.5,-11.5
151,0.25,5.0,-3.0,-4.0,6.25
152,1.0,6.75,0.25,4.5,1.75
153,1.0,-1.25,2.25,1.0,10.0
154,0.25,8.25,1.0,9.0,9.25
155,-0.5,-1.5,3.0,-2.25,-4.25
156,5.5,-2.5,4.25,-11.0,4.0
157,5.0,-7.75,4.0,-10.5,-5.25
158,2.75,1.75,4.5,-5.5,-4.0
159,9.0,-4.0,3.25,-5.0,8.75
160,0.75,-1.5,8.75,2.5,54.5
161,-1.25,3.0,11.25,-0.25,-0.25
162,-11.25,5.0,-4.0,-2.5,10.75
163,8.0,-1.5,3.0,-3.75,7.5
164,1.0,1.0,-0.5,-0.75,-12.25
165,-5.25,2.25,8.5,-1.0,0.75
166,-3.5,-8.0,1.25,-2.5,0.5
167,-5.75,-5.0,5.75,-5.25,-6.0
168,1.5,5.5,8.0,-4.25,4.5
169,-6.75,-2.0,0.5,0.25,1.5
170,10.75,5.0,-5.75,-7.75,-6.0
171,-6.25,-5.75,8.75,6.5,-10.75
172,2.75,1.0,4.75,0.5,2.5
173,4.25,1.0,-1.5,0.25,9.5
174,-1.5,-7.75,-4.5,6.75,-12.25
175,5.5,-5.0,0.25,-1.25,-5.5
176,15.5,0.0,-4.25,-0.5,8.5
177,1.0,3.0,2.75,0.0,1.75
178,3.5,2.0,-1.75,9.0,-2.5
179,-3.25,-12.5,0.75,11.0,13.25
180,4.0,-5.75,-3.75,1.25,-2.5
181,3.0,12.5,2.0,5.25,1.25
182,6.0,-4.75,1.0,7.75,9.0
183,-1.5,3.0,1.75,-2.5,-14.0
184,4.0,7.5,4.75,-9.0,-11.5
185,-0.25,10.0,6.75,-2.5,-7.25
186,-4.25,13.0,0.25,1.25,0.25
187,7.5,-5.25,-9.75,-0.25,4.0
188,-1.75,-0.75,1.75,-3.5,8.0
189,2.25,-0.25,8.5,-4.25,-1.75
190,-0.5,-1.0,13.25,6.5,-9.5
191,2.5,11.75,-1.25,6.25,4.25
192,5.75,2.0,13.25,2.5,-5.5
193,4.75,3.5,15.0,-4.75,4.5
194,0.75,-1.25,7.25,-5.25,4.75
195,3.25,-6.5,-1.0,11.0,-3.25
196,3.25,0.25,9.0,-1.75,-4.25
197,2.5,-7.25,-11.5,2.5,6.75
198,-2.5,1.25,1.25,3.0,6.0
199,8.25,-1.0,-10.75,-6.0,0.75
200,-1.0,2.75,-4.5,-3.25,1.5
201,-3.75,-3.75,-3.5,-3.0,8.75
202,3.25,-2.5,-2.25,7.25,4.25
203,12.75,-2.75,13.25,0.0,3.5
204,2.75,-3.25,-3.75,-6.75,2.75
205,10.75,-0.75,8.25,-9.5,-1.75
206,-0.5,-7.5,6.75,-5.75,-2.75
207,-0.75,5.0,-1.0,0.25,-5.75
208,-4.25,0.5,-3.5,0.25,-9.0
209,-4.5,4.25,3.25,5.25,0.5
210,8.75,1.0,1.25,-2.0,-6.0
211,-3.25,-4.75,6.25,-12.5,-2.25
212,-3.5,9.75,-5.5,0.75,-6.25
213,4.75,3.25,4.75,-1.75,-4.0
214,7.0,-1.75,3.25,-2.5,-3.5
215,0.5,2.25,3.75,-3.75,6.0
216,-1.5,1.75,-2.5,-2.25,-0.25
217,-3.75,0.75,-4.25,5.75,9.5
218,-1.5,1.25,9.25,1.0,-4.0
219,2.25,5.25,-9.25,-7.0,2.25
220,-1.5,-0.5,-2.75,-11.5,6.0
221,-0.25,-6.5,-1.0,3.5,-12.25
222,0.5,5.25,-4.5,-5.0,3.0
223,-3.75,3.25,6.25,-4.5,0.0
224,-3.75,1.25,1.0,-2.5,-14.0
225,0.25,2.0,1.25,-5.0,4.5
226,3.5,-9.0,1.25,7.5,0.5
227,7.75,8.0,-1.5,0.75,-0.75
228,1.0,7.25,-5.5,9.75,1.75
229,0.75,-6.75,4.75,-2.5,-8.75
230,2.0,1.5,5.0,-2.0,1.0
231,3.5,6.5,-3.0,-0.75,-6.0
232,-6.0,1.25,-5.5,13.75,9.25
233,3.75,2.5,1.75,-9.25,12.75
234,5.0,12.75,-1.5,-2.75,-6.25
235,-1.5,-0.75,1.0,-4.5,0.75
236,1.5,-0.5,5.0,5.25,-1.0
237,-5.25,0.0,7.25,-2.75,1.5
238,-3.75,4.5,-0.75,7.25,3.25
239,-5.75,-2.25,-9.25,4.0,3.0
240,5.0,-5.75,-2.0,-3.5,2.25
241,-1.0,-3.75,6.25,8.75,1.75
242,11.0,-2.75,0.75,1.25,-7.5
243,6.25,-12.25,-5.75,1.25,-1.25
244,-5.75,-1.75,-1.0,-1.0,-6.25
245,3.25,5.25,7.0,9.75,-0.25
246,6.0,-4.25,-3.75,11.5,5.25
247,-5.5,-4.75,0.25,6.25,1.0
248,11.75,-10.0,2.5,6.0,9.5
249,-0.5,4.25,0.0,-3.75,6.75
250,2.75,-4.0,-2.5,1.75,1.5
251,-4.0,9.25,0.0,-8.5,-2.5
252,0.75,-6.5,4.0,-0.5,2.25
253,0.75,-0.25,-4.0,-5.75,-7.5
254,2.75,-2.5,-8.25,-2.25,2.5
255,-2.5,-3.0,6.25,5.25,-6.5
256,1.25,-3.0,2.25,10.75,-2.75
257,3.0,5.0,11.5,0.25,3.75
258,0.75,1.75,8.75,-6.25,-7.25
259,0.0,6.0,-1.5,5.5,-1.75
260,-6.75,-1.75,0.0,1.25,-2.75
261,-0.25,8.0,-5.75,6.75,2.5
262,8.25,5.5,11.75,-4.0,-0.25
263,-12.75,-7.25,-5.0,2.0,9.0
264,-3.25,12.0,-6.5,-1.25,4.5
265,-0.75,4.5,-3.75,11.0,4.25
266,3.75,-6.0,-5.75,4.0,9.25
267,6.0,-2.5,7.5,6.75,12.0
268,1.0,3.75,0.5,-2.25,2.0
269,5.25,-0.75,17.75,6.25,-4.75
270,2.25,3.5,-4.75,-1.5,-4.5
271,-1.25,-10.25,-4.75,-5.75,1.25
272,3.75,5.75,-5.75,1.25,-14.25
273,4.0,1.75,1.5,-0.75,6.75
274,8.75,-1.25,-7.25,0.5,0.25
275,3.75,-4.75,-5.75,6.75,-2.5
276,1.25,5.5,-1.5,0.5,1.25
277,-0.75,-12.0,-2.5,-6.5,-6.5
278,-0.25,-3.0,0.75,-0.75,-5.25
279,-3.75,6.5,-1.25,8.75,-4.0
280,4.75,3.5,-6.75,-1.5,-2.25
281,-6.5,4.5,4.25,3.75,-4.75
282,9.0,4.0,5.25,-4.25,-4.25
283,3.5,-6.0,2.5,5.0,2.0
284,9.5,-2.75,-3.5,0.25,8.25
285,4.75,-1.5,-3.5,0.5,4.75
286,-1.25,-4.5,-5.0,4.0,12.75
287,1.25,5.75,-6.75,-9.25,2.0
288,4.75,-4.0,4.5,-2.25,0.25
289,5.5,5.25,-4.5,3.0,0.25
290,2.25,4.25,-6.75,3.75,-2.0
291,-5.25,5.25,-15.0,6.0,-3.0
292,0.25,1.75,0.75,4.75,-4.5
293,0.0,5.0,-8.0,2.0,-3.5
294,2.0,-11.25,4.5,-7.25,-2.0
295,-12.75,1.0,0.75,3.5,2.5
296,10.5,0.0,1.75,2.75,-1.0
297,7.75,1.75,-3.25,2.5,-0.5
298,-2.25,-0.75,-3.75,4.5,2.5
299,-3.25,-5.0,-4.25,0.5,6.75
300,-1.5,0.75,3.5,-1.0,2.25
301,9.75,-2.25,14.25,-13.25,-3.5
302,4.75,3.75,8.5,-2.0,-9.0
303,0.25,5.0,-1.75,4.75,5.75
304,6.0,-4.25,7.5,-5.5,6.0
305,4.0,4.75,-1.25,-5.0,-1.0
306,4.25,5.75,-1.75,-3.5,2.5
307,-6.0,1.0,0.5,0.0,1.5
308,3.5,-2.5,1.0,2.0,-0.5
309,-3.0,3.25,-4.0,-3.75,6.5
310,-7.0,6.75,-7.25,-1.0,6.75
311,-4.25,2.0,3.0,4.75,-4.75
312,5.75,9.25,-0.5,-1.5,1.5
313,3.5,-6.75,8.25,-8.5,-4.5
314,2.25,-1.5,-0.75,8.5,-1.75
315,2.25,-3.75,9.25,3.0,3.25
316,6.75,-2.75,-10.5,-2.75,-7.25
317,-8.5,-0.25,4.0,-2.5,-4.0
318,-7.25,-7.25,5.75,12.0,-9.75
319,8.25,-5.5,7.5,-6.25,-5.0
320,4.0,-3.5,-8.75,8.75,8.25
321,4.75,-0.5,-1.25,-2.25,5.0
322,-4.0,9.0,5.25,2.25,2.25
323,1.0,0.25,-1.25,1.75,7.75
324,-0.25,-1.75,-6.75,-2.75,0.0
325,4.25,-1.75,5.25,10.5,-1.75
326,2.5,-2.5,-3.5,-1.0,3.75
327,1.25,2.75,-0.5,-3.75,1.75
328,9.0,7.0,0.0,-4.0,-1.75
329,2.5,11.25,6.25,-3.75,5.25
330,1.0,-8.75,5.5,2.5,1.75
331,3.25,-4.75,4.0,10.5,-5.5
332,-5.0,-1.75,3.0,-0.75,2.0
333,-2.0,4.75,2.25,1.5,-1.5
334,0.5,-1.75,1.0,-8.0,8.75
335,5.5,-7.75,0.5,-2.25,5.75
336,-5.0,-7.25,-1.0,-9.25,-5.25
337,7.75,10.0,-5.25,3.5,-7.25
338,3.25,8.25,2.25,-5.25,0.25
339,2.75,8.25,-5.0,1.25,5.75
340,-3.75,-5.75,1.5,4.75,-8.25
341,1.75,-4.0,14.5,-4.5,-7.75
342,7.75,-5.5,-1.75,12.0,-3.0
343,2.0,12.75,5.75,1.5,-1.5
344,3.5,0.75,3.5,1.75,2.75
345,-0.75,2.0,-5.25,0.5,-3.0
346,-1.5,2.75,-8.0,-8.75,-7.75
347,3.25,2.0,2.25,8.75,-1.0
348,8.0,6.5,-1.5,4.75,-8.0
349,5.75,-5.75,6.5,7.25,3.5
350,-7.75,-3.75,7.0,-6.0,1.25
351,0.75,-0.75,1.0,-9.0,4.5
352,-9.25,2.0,5.0,0.5,-2.75
353,-0.75,-5.75,-6.75,5.0,-1.75
354,-7.75,10.25,-9.0,1.0,4.0
355,7.75,-8.25,-2.75,-6.0,6.75
356,3.5,-2.0,-3.25,-9.75,4.75
357,4.25,6.5,-6.25,1.25,1.25
358,0.5,2.75,4.0,5.75,-1.5
359,8.5,-0.25,2.0,-5.25,-4.75
360,2.0,-2.25,1.25,9.0,2.25
361,-0.25,7.25,-1.25,-3.5,1.75
362,6.0,7.5,2.0,4.0,-2.0
363,5.25,-2.5,4.0,-5.0,-1.25
364,-1.75,-0.25,-2.5,11.75,-5.5
365,-4.75,-10.0,1.0,4.75,-12.75
366,1.0,4.0,-6.75,-1.5,-5.5
367,2.75,9.0,-4.5,-0.25,5.0
368,-8.0,-4.0,-4.0,-4.5,-0.75
369,1.5,-4.0,-4.5,-1.5,-8.75
370,-3.25,0.5,6.25,2.25,-1.5
371,2.5,9.25,2.25,2.5,1.5
372,14.0,-10.5,4.25,7.75,2.25
373,10.75,4.0,-3.0,9.25,5.5
374,1.0,-6.5,-6.25,-9.5,-3.25
375,-10.25,0.0,0.25,-6.0,-9.25
376,3.25,-5.5,-3.5,-1.0,-7.5
377,5.75,5.75,10.75,2.5,2.0
378,4.75,12.25,7.0,-0.25,-0.25
379,3.5,1.0,0.25,1.75,1.5
380,2.75,-0.5,-8.0,-17.25,-0.5
381,-6.0,1.75,0.25,7.25,1.25
382,8.0,4.0,5.75,1.75,6.25
383,-1.5,8.5,-13.25,-4.25,-5.5
384,16.25,7.0,-1.75,-11.75,10.0
385,3.75,12.25,-1.75,-2.25,2.5
386,-6.5,-4.5,2.0,-2.75,4.0
387,-9.75,7.25,6.5,7.0,0.25
388,-8.75,-1.0,-2.0,-4.75,-8.5
389,0.0,-3.5,1.75,3.75,-10.25
390,4.0,2.5,6.25,-1.5,8.75
391,0.75,-4.5,7.25,0.75,2.25
392,1.0,1.5,-6.0,2.0,6.75
393,-4.25,1.25,7.75,-8.25,-6.75
394,0.5,-2.25,-4.75,0.5,-7.0
395,0.75,1.5,6.5,2.25,0.5
396,0.75,1.0,3.25,0.5,-2.0
397,-2.75,1.5,15.5,7.75,0.0
398,3.75,-0.5,0.0,3.75,-2.75
399,-9.5,-1.25,10.25,6.0,-5.0
400,0.5,76.5,4.75,-6.75,3.75
401,-2.5,-2.75,1.75,-1.25,4.5
402,-8.5,54.25,9.75,-0.75,75.75
403,11.5,-5.25,7.0,2.5,6.5
404,-0.5,3.75,2.0,3.25,7.0
405,-3.25,1.0,-2.0,-2.0,0.25
406,2.75,4.75,0.75,6.25,0.25
407,3.25,7.5,2.0,3.25,2.0
408,1.5,4.0,6.5,-0.25,2.5
409,-3.25,0.25,4.75,6.0,3.25
410,10.75,1.0,-1.25,10.25,-0.25
411,6.75,8.75,6.25,3.5,-2.75
412,-8.5,-2.25,1.75,-6.5,2.0
413,-3.25,-4.25,-2.0,3.75,12.0
414,-3.0,2.0,-3.0,-5.25,-1.75
415,0.75,0.25,-1.0,6.0,3.5
416,-0.25,-3.5,2.5,-0.25,0.75
417,1.25,-3.75,-3.5,1.25,1.0
418,6.5,8.5,-0.25,3.0,-2.5
419,-11.0,-6.0,-4.5,-2.75,6.25
420,0.0,6.0,-4.0,-2.25,-0.75
421,6.25,-6.75,7.75,3.5,-7.0
422,1.5,0.75,0.5,1.75,3.0
423,-4.25,-1.0,6.75,4.75,2.5
424,-0.25,11.0,-4.25,-1.5,4.75
425,-2.25,1.75,8.75,2.75,4.5
426,5.25,0.25,12.5,-3.5,5.0
427,-3.0,-0.5,-2.0,-7.25,-5.25
428,3.75,6.75,2.0,20.5,-4.0
429,1.25,0.0,-2.25,-0.25,-5.75
430,-0.75,-0.75,-0.75,-0.25,4.25
431,2.0,-2.25,-5.75,0.75,4.25
432,6.25,2.75,-1.75,0.25,-3.25
433,4.25,6.0,-0.25,0.5,0.5
434,13.0,0.5,10.0,-0.25,-10.0
435,-9.0,-4.75,8.25,8.25,-6.75
436,6.25,10.75,3.5,2.25,-6.0
437,-2.75,-12.5,-11.25,6.0,-4.5
438,7.75,-14.25,1.25,-1.25,-2.0
439,-2.75,8.75,-7.75,1.0,-5.75
440,1.5,-3.25,-2.5,2.0,-2.0
441,0.25,5.75,-2.5,5.0,5.0
442,-5.75,0.75,-2.0,-6.25,-4.0
443,-4.25,0.0,3.0,4.5,-3.0
444,-3.75,-4.5,3.25,-8.5,3.25
445,-8.25,-1.5,-3.25,-1.5,-1.5
446,2.0,6.25,2.75,1.25,-2.25
447,-1.5,-1.0,-0.5,3.75,-6.5
448,-5.0,6.5,9.5,7.75,-4.75
449,-4.5,-2.5,-3.5,-2.25,2.75
450,1.0,-3.25,-0.25,11.75,-3.75
451,-2.5,6.0,8.25,0.75,-6.5
452,-2.0,1.75,4.5,-2.0,5.75
453,-3.75,7.75,-5.5,2.75,-2.25
454,-6.0,-2.5,-5.0,0.75,7.25
455,-6.25,10.5,-5.0,9.0,8.5
456,4.0,7.75,-8.25,-1.25,5.5
457,-2.0,0.25,2.5,2.25,-5.0
458,-1.0,-1.75,-2.25,10.0,8.0
459,5.75,0.0,2.0,5.25,-0.5
460,4.0,2.0,-7.75,9.0,4.0
461,-4.0,6.25,7.0,-3.0,4.5
462,-5.5,3.5,-3.5,1.5,5.75
463,-7.5,1.25,14.0,5.5,1.0
464,-2.0,-2.5,-1.0,0.5,2.25
465,3.25,6.5,-2.75,-4.0,2.0
466,1.5,-4.5,0.5,0.5,-2.0
467,8.5,-0.5,-9.25,5.75,-3.75
468,0.75,-4.5,-14.5,1.25,-3.25
469,-3.75,-2.75,2.75,0.75,7.25
470,1.75,3.0,-10.75,-9.5,0.25
471,3.0,-6.5,-15.25,0.25,0.0
472,-7.5,-2.75,-10.5,-10.5,-1.25
473,3.0,-3.0,0.75,3.25,-6.25
