,EFEFEFEF,TSTSTSTS,TSTSEFEF,EGEDEFTS
MEAN,6.449728051,5.509752137,5.786826094,7.80763854
STDERR,0.645973955,0.633034978,0.615238694,0.322490665
,3.010361176,39.85928774,-17.48908419,-4.228109335
,-22.18064206,-26.66087736,14.46687022,-1.891768687
,35.20536642,-33.79929521,-6.846444683,54.72524021
,0.968299396,53.16906782,6.31951382,-3.321790622
,3.754139269,23.16993006,31.8294213,51.45662148
,-5.991755529,23.76850179,-5.3696718,45.87316507
,7.571279005,35.59883861,-4.118809944,-12.86762641
,8.095738514,7.75382714,17.21581856,21.29091972
,14.34915147,34.82649126,6.698251489,4.687166717
,-30.73707194,38.82649126,0.44721745,28.58332712
,22.74462019,-25.17350874,34.93331437,-5.691006667
,-23.44721594,27.18894838,24.07807239,4.526899382
,30.2579919,-27.07313691,19.15529939,14.77879196
,13.94620467,22.43186158,-36.17734102,40.23432185
,40.34194857,18.26869667,17.4300765,-3.933936275
,-4.955936433,-6.22615809,0.822658982,29.00997768
,15.54327251,-16.87215117,74.67350313,22.41321193
,-7.53434425,32.24052947,47.47109654,22.72015796
,-36.91168007,4.529914197,-5.613070653,1.532760633
,-18.32089912,-8.544709504,0.787731542,31.20151444
,47.87078212,19.80793118,-0.784786711,-8.437048388
,24.03507607,4.209281564,19.73700375,-34.29404474
,16.75379728,80.0953515,0.79427751,39.37994689
,12.26224033,26.34697104,2.394541865,-6.990540071
,-3.905164523,-54.9068949,3.392005926,-22.45193355
,26.71153308,-11.11379663,-11.7755345,3.519434324
,29.57331904,-11.32546629,30.77357845,16.12329131
,11.07771083,17.09274636,35.0784439,-0.407683912
,9.241649741,-28.86211437,28.40154572,-5.086469485
,-15.414541,-9.21995315,43.27116987,10.15064473
,16.15528833,-17.14344994,-54.71654247,15.88345167
,36.6890407,15.51374896,29.52577774,-1.56679216
,41.30620235,-7.367290557,-0.619480026,-13.02666003
,-16.23528818,9.702350726,-5.926982388,12.71732167
,88.36944586,-24.28147024,-25.45152698,23.89484946
,-36.77375253,-9.721604977,8.667336867,-7.98907632
,6.154166644,23.2770797,-13.82046966,53.09669254
,-31.37141414,-9.383113776,23.10345327,-26.30348113
,33.6928553,-27.15597815,37.21486483,-24.63721948
,30.2546761,-13.69379371,21.60210125,1.411244681
,28.51680408,2.244016378,-23.46491292,8.527227918
,21.55287019,-32.0659244,-19.40939893,26.68602587
,-23.30552351,36.42520998,31.58135432,-4.017937309
,-43.41468474,26.32372197,25.55235215,30.26421583
,17.01324882,-5.72204429,10.95157067,-10.89267594
,-20.56391963,37.42315575,-53.23358752,7.02609765
,-31.52979424,19.2028044,20.64269009,13.91524837
,-4.772675253,-12.12511047,57.98630151,-13.15454148
,-17.03909286,-5.130087389,-2.744262956,-25.97571518
,34.10721246,64.010263,49.79278332,10.98524641
,5.145628198,8.89364985,-4.299760328,-24.95201369
,28.34989591,-3.739544986,3.076907747,-8.589017326
,21.67448909,36.38864065,16.1845041,41.40051704
,28.79876053,17.69656662,-19.4736114,23.27968313
,15.39390886,9.531130961,-6.618463861,-28.5120742
,31.70506303,-18.90266747,-9.113330394,-0.86166974
,5.073173153,-3.665601936,-3.943860088,-49.40112926
,22.43844752,12.78050279,-13.05408639,16.18528669
,-1.393062143,-0.894218981,-15.20999587,-28.79201672
,-10.46679474,-1.036860975,12.55069157,34.45221337
,-29.15645413,55.00887175,1.893799513,30.09085744
,-39.8404972,9.051244144,-40.86446168,13.20116533
,-44.34282678,16.66760649,-3.894479905,23.14689582
,32.02969317,2.295046758,-28.26093722,27.34525199
,-30.46609223,43.88213211,-51.30764817,-15.53186479
,18.26919321,-44.47474151,60.50153069,6.342073865
,21.54091381,2.604061884,17.04468819,60.44188379
,7.088220307,-23.32299375,24.06122412,8.034180076
,-7.174041305,46.65529326,-23.92644897,-37.58079674
,-3.341334861,8.456314925,6.17813318,0.905061904
,-13.4755119,-27.21277797,38.93287586,-22.34505187
,9.229912847,0.34791979,-20.19067702,4.425123035
,33.7796161,2.195826928,-10.80977695,-28.4296234
,-0.009935099,-1.307310356,4.014118907,-13.29393742
,34.17414857,13.52666903,18.60840708,57.78747417
,-27.61722156,6.979677898,-13.73800275,57.82480504
,21.08642291,-44.98221419,-42.18079105,-7.988436207
,5.924694645,17.44183177,25.35884579,4.929077261
,50.65065883,5.592179546,-48.80462425,3.894097696
,18.93438058,-0.730513584,9.643432228,-20.43688404
,19.28593237,29.44041831,-21.18217675,-11.55291839
,0.011679904,-34.68966691,-60.93729405,17.9948949
,2.142203885,16.14242955,48.02017616,28.44579364
,5.12458471,26.13187631,64.59820064,-29.40501739
,30.25891396,2.007991965,-13.30662396,-1.316414313
,-43.01973986,13.72290691,8.861387355,-8.211381156
,5.430513642,1.725023025,-31.05864093,46.25992824
,43.89722954,18.83380253,20.91201254,0.057832873
,46.93117713,18.37333583,-10.08101939,-4.633720368
,12.6696689,8.111533858,13.51313146,-28.33331949
,-37.51644694,21.41398768,8.118318444,50.83598575
,12.23905818,19.31722944,-11.68289553,32.37681664
,-19.79477678,22.16962906,33.97620499,-10.35354755
,40.15979952,31.12775019,0.113905193,20.77262738
,8.150836461,21.942989,-2.930246469,23.18756793
,1.295128118,-4.307349297,-29.96049507,7.061990727
,33.82471758,-13.41176878,32.50306746,7.583082989
,16.23141341,-58.06491487,-0.308787181,37.03207226
,3.030798971,-10.00377439,26.20101886,3.340910685
,1.865083379,-59.48072949,-21.72871087,-3.964692525
,44.34647234,-8.409078835,-42.56140507,-5.860479511
,22.08787711,35.21804927,0.213739642,-20.84730604
,-2.070433802,-16.87415978,14.57451399,6.329783953
,4.606927112,-2.529841931,3.601893067,-40.22844983
,-2.931077641,27.69080732,44.16781159,23.37183015
,-32.44600597,-12.04094944,12.34740764,10.32370694
,33.33892369,-10.77136154,-18.07399563,-5.669769832
,42.97091812,-7.771361541,-14.32617138,23.96728067
,1.932643837,11.05844839,-0.203504277,-43.74495423
,37.96573969,13.83089077,-31.92871568,15.31646778
,-14.43792492,-3.729239425,6.777375772,-20.92585631
,27.81692111,47.29111757,-16.49741283,2.152693122
,-6.116386571,-3.297711503,49.67420216,78.96111921
,18.93648734,5.582228048,12.37757794,28.62205267
,-9.221860567,20.16632074,-13.05475668,1.495897004
,-0.203247509,-31.69576555,4.558297906,25.51493232
,17.65560976,-14.17497169,-29.6667592,44.13910256
,15.47723155,39.11269052,-0.885655527,-32.24070297
,-39.98467972,-2.954060884,16.3471942,25.85624535
,86.43230449,-74.33886613,-10.81798339,20.77855997
,21.25793444,38.37426896,12.59908035,6.514188499
,2.900802426,11.28980995,-0.107789245,22.62129997
,15.20192255,4.145383715,13.50324175,7.410537649
,3.310473345,24.06542183,-8.218685287,12.64154132
,-33.23456666,-46.05288266,22.70000658,45.34215835
,0.201730324,2.51708377,27.29056203,-20.39270186
,11.38455578,-20.91545214,10.46257178,0.8414843
,45.10434876,13.59006568,36.19942229,-28.73964398
,-25.26708192,24.64800545,20.43933408,15.86293448
,-15.21658254,-21.65714366,-18.54800087,43.554211
,3.061670409,-3.144102628,4.846389428,27.28258166
,-23.53787986,-11.94535849,3.939113533,-1.305064857
,-18.00132823,8.431928597,30.46880323,22.38049983
,50.83493412,-10.89704018,36.94215668,-15.68303713
,-5.505939273,-0.007516269,-9.637782975,5.319959878
,-59.2578901,13.83297749,25.89095841,16.83216896
,-49.15966679,29.03321314,10.85967166,0.905466649
,33.34170736,-3.374187525,6.343178626,-0.556039417
,7.403734569,-25.90985887,16.14120623,-2.314705717
