,Thompson Sampling,Epsilon Greedy,Epsilon First,Epsilon Decreasing
0,73.12698635,-17.7073421,-41.26414808,1.583195267
1,-5.231028225,4.563432788,58.88675618,25.32786398
2,-17.63772154,30.62652011,-10.48841095,-12.39066966
3,4.189895623,42.67749653,-36.81718957,-50.65150696
4,-11.58151441,-25.38996383,-15.93578277,-22.30860494
5,-1.675352209,-14.31476024,17.80048451,1.804198936
6,36.21602404,-38.85665206,6.513534967,-44.8206234
7,-28.23935781,-14.68232218,0.350657679,-16.09140119
8,6.884319747,39.76516944,-11.73698706,21.27579057
9,-27.59095217,9.359289151,9.439546559,3.569562647
10,21.08263254,20.29446613,0.38838205,39.52988325
11,14.83665397,4.706848585,14.46792448,-4.974585936
12,11.82074579,32.714749,25.06669958,-11.49883508
13,37.17552933,5.755718951,-29.24797366,35.43865308
14,-19.79467574,14.29387629,-6.013408772,51.62982652
15,12.95776298,5.328785874,-26.6606085,12.77225154
16,31.73823598,-13.35484312,12.13362205,13.6297771
17,-31.29954373,0.737114112,19.47539011,22.44897042
18,-13.35442303,28.13441164,-47.62660217,55.84412866
19,15.69285702,-15.06200556,-2.916579322,-2.995373491
20,-1.39905908,-8.555115753,-29.39905908,2.328989214
21,19.87056898,-27.43716538,-13.51889877,1.675835105
22,-26.76847686,46.49334621,-14.93739714,37.72476229
23,2.934639061,-4.211119441,-2.780093016,-1.634334514
24,41.5391779,-1.386905656,8.770030811,-7.49456449
25,-2.781126709,53.1851309,-12.38423376,-3.368698513
26,20.22412521,31.59488687,13.98524307,-11.71709114
27,-12.20727782,-4.088163096,1.469840884,25.77078253
28,-7.701506532,-18.19557365,-14.68489446,61.55620622
29,-35.63122927,19.84852475,15.01193749,14.89950092
30,12.36681723,-10.18554499,-8.842631626,28.14299833
31,4.87457236,22.19236185,-18.51172589,3.295124987
32,22.49812232,24.64696583,-6.905308647,96.33331897
33,-16.24846089,40.94611718,-9.863864769,3.364662985
34,37.83277578,-1.952308471,89.85746676,-17.00194332
35,-14.06072776,20.58273591,-11.01715222,26.93927224
36,33.95826824,22.06348842,53.7327381,45.20643306
37,-29.29435488,21.45017293,28.61257914,-17.7815735
38,21.89126122,1.922293568,28.78371691,-1.600980696
39,-13.53101002,24.52828433,7.121524802,58.5663809
40,7.78351376,-29.60863183,12.60486327,16.16805505
41,-8.955181313,0.737362214,-16.25966244,22.46272508
42,-4.161174813,22.80527135,-0.978782959,-13.33725628
43,8.395587793,8.692058674,38.72734987,-33.67970837
44,17.09969601,-22.4848787,-18.70964434,-1.327404711
45,-32.71945594,1.206618128,65.08833663,24.2324922
46,-30.43901446,20.67213122,13.79711455,26.63044048
47,-15.8276419,-40.216619,-32.01208282,20.70558558
48,1.526163904,30.94638463,24.49891223,3.990486921
49,26.09480352,-3.365858211,-13.70722729,61.95140363
50,14.06302067,-35.46408193,-4.947820373,-11.15380016
51,-3.630808894,21.54035744,21.0916537,31.19262516
52,5.068243465,-10.39223962,-30.34707744,12.66421311
53,11.41968908,-10.27599943,41.04702866,47.27415814
54,2.531223529,27.22162975,8.80314805,10.78225349
55,39.5147433,-3.479877615,32.92066029,29.33733547
56,32.40263281,15.0938579,0.102963386,21.07978399
57,16.82549875,26.97470953,34.87523568,-0.824588941
58,31.63077172,-17.38674344,5.282842417,-2.7521879
59,-8.926201628,-4.752303008,19.11180759,27.23502725
